columna_pca,componente,correlacion_columna_score
n_trabajos,PC75,1.1800278551008088e-14
n_trabajos,PC76,7.34747542432276e-15
n_trabajos,PC77,-8.293586827770759e-17
horas_trabajos_total,PC1,0.17340453435963846
horas_trabajos_total,PC2,0.8269763557800278
horas_trabajos_total,PC3,0.12046759362900496
horas_trabajos_total,PC4,0.19557567490989064
horas_trabajos_total,PC5,0.1310092645268538
horas_trabajos_total,PC6,-0.17595587440855423
horas_trabajos_total,PC7,-0.11324463874170725
horas_trabajos_total,PC8,0.392191125106906
horas_trabajos_total,PC9,-0.05584200103640494
horas_trabajos_total,PC10,-0.07055592754229033
horas_trabajos_total,PC11,-0.08609751079731302
horas_trabajos_total,PC12,-0.02120837450926065
horas_trabajos_total,PC13,0.018093255734960578
horas_trabajos_total,PC14,-0.021890193088723642
horas_trabajos_total,PC15,-0.02687565310302767
horas_trabajos_total,PC16,-0.010521924655763503
horas_trabajos_total,PC17,-0.005842305008521927
horas_trabajos_total,PC18,-0.026707284071041146
horas_trabajos_total,PC19,0.0011969037015376375
horas_trabajos_total,PC20,0.0040770701701201145
horas_trabajos_total,PC21,0.0019123013602071737
horas_trabajos_total,PC22,0.005478525984520801
horas_trabajos_total,PC23,0.003871102766263244
horas_trabajos_total,PC24,0.002369551560372981
horas_trabajos_total,PC25,-0.0013854553369072708
horas_trabajos_total,PC26,0.0008095234434353053
horas_trabajos_total,PC27,0.0005221218177460067
horas_trabajos_total,PC28,-0.0007221170882028338
horas_trabajos_total,PC29,0.0002489239355809665
horas_trabajos_total,PC30,0.00959939302433342
horas_trabajos_total,PC31,0.001391504377918154
horas_trabajos_total,PC32,0.00011857455242301692
horas_trabajos_total,PC33,-0.0001539960010620171
horas_trabajos_total,PC34,-0.0007051412392257498
horas_trabajos_total,PC35,-0.00011994697972195262
horas_trabajos_total,PC36,-9.806373175685533e-05
horas_trabajos_total,PC37,-1.2999161347636637e-05
horas_trabajos_total,PC38,-0.0003511534227918557
horas_trabajos_total,PC39,-3.338207551736697e-05
horas_trabajos_total,PC40,-7.510397304732902e-05
horas_trabajos_total,PC41,-5.313304734728117e-05
horas_trabajos_total,PC42,-3.030467966284111e-05
horas_trabajos_total,PC43,-3.121107245268263e-05
horas_trabajos_total,PC44,0.00011150190960625208
horas_trabajos_total,PC45,3.60969292826458e-05
horas_trabajos_total,PC46,6.209010970028301e-06
horas_trabajos_total,PC47,1.4239527420265021e-05
horas_trabajos_total,PC48,-2.2717781377624584e-05
horas_trabajos_total,PC49,-1.5276040750816957e-05
horas_trabajos_total,PC50,-5.6348063932978155e-06
horas_trabajos_total,PC51,-3.622646615123193e-07
horas_trabajos_total,PC52,1.6634061466430724e-06
horas_trabajos_total,PC53,-7.731838267546879e-07
horas_trabajos_total,PC54,1.9349588610340302e-06
horas_trabajos_total,PC55,-4.6690303458469316e-07
horas_trabajos_total,PC56,1.6347997431446362e-07
horas_trabajos_total,PC57,-5.621988759871315e-07
horas_trabajos_total,PC58,5.615110202922897e-07
