variable_original,repeticion,rmse_permutado,mae_permutado,delta_rmse,delta_mae,baseline_rmse,baseline_mae
p65mas,8,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
p65mas,9,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
p65mas,10,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
parentesco_desc,1,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
parentesco_desc,2,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
parentesco_desc,3,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
parentesco_desc,4,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
parentesco_desc,5,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
parentesco_desc,6,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
parentesco_desc,7,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
parentesco_desc,8,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
parentesco_desc,9,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
parentesco_desc,10,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
region_banxico,1,42144.73523395787,16224.35016332481,147.69286436044058,247.12657444121032,41997.04236959743,15977.2235888836
region_banxico,2,42103.502947714696,16214.117672114719,106.46057811726496,236.8940832311182,41997.04236959743,15977.2235888836
region_banxico,3,42153.37144319741,16239.358462065375,156.32907359997625,262.1348731817743,41997.04236959743,15977.2235888836
region_banxico,4,42141.42186245155,16248.918317151978,144.37949285411742,271.69472826837773,41997.04236959743,15977.2235888836
region_banxico,5,42143.67271641708,16216.406685192753,146.63034681964928,239.18309630915246,41997.04236959743,15977.2235888836
region_banxico,6,42093.9245678409,16229.36097431071,96.88219824346743,252.13738542710962,41997.04236959743,15977.2235888836
region_banxico,7,42138.920069483735,16219.782228860735,141.87769988630316,242.5586399771346,41997.04236959743,15977.2235888836
region_banxico,8,42104.05391254834,16227.564926961184,107.01154295090964,250.3413380775837,41997.04236959743,15977.2235888836
region_banxico,9,42133.67935183009,16210.670228275278,136.63698223265965,233.4466393916773,41997.04236959743,15977.2235888836
region_banxico,10,42100.268099184985,16227.474631560584,103.22572958755336,250.25104267698407,41997.04236959743,15977.2235888836
segsoc_desc,1,42269.01061982295,16857.856374898798,271.9682502255164,880.6327860151978,41997.04236959743,15977.2235888836
segsoc_desc,2,42241.594616347815,16830.30584241955,244.55224675038335,853.0822535359512,41997.04236959743,15977.2235888836
segsoc_desc,3,42285.94132367186,16847.817447666068,288.89895407442964,870.5938587824676,41997.04236959743,15977.2235888836
segsoc_desc,4,42298.127670665235,16867.516862135468,301.0853010678038,890.2932732518675,41997.04236959743,15977.2235888836
segsoc_desc,5,42302.81090061728,16872.355535214778,305.76853101985034,895.1319463311775,41997.04236959743,15977.2235888836
segsoc_desc,6,42282.525181235775,16825.566917353954,285.48281163834326,848.3433284703533,41997.04236959743,15977.2235888836
segsoc_desc,7,42323.49347290593,16898.062339206816,326.4511033085,920.8387503232152,41997.04236959743,15977.2235888836
segsoc_desc,8,42299.483286463525,16854.380244643755,302.4409168660932,877.1566557601545,41997.04236959743,15977.2235888836
segsoc_desc,9,42298.953561228904,16864.806792324085,301.9111916314723,887.5832034404848,41997.04236959743,15977.2235888836
segsoc_desc,10,42270.4239022642,16875.64212684878,273.3815326667682,898.418537965179,41997.04236959743,15977.2235888836
sexo_desc,1,42250.831699436276,16422.30471301594,253.78932983884442,445.081124132339,41997.04236959743,15977.2235888836
sexo_desc,2,42245.25115750786,16425.22572827446,248.20878791042924,448.002139390861,41997.04236959743,15977.2235888836
sexo_desc,3,42294.26359797691,16432.640657636955,297.2212283794797,455.4170687533551,41997.04236959743,15977.2235888836
sexo_desc,4,42260.739458270735,16452.545112812204,263.69708867330337,475.3215239286037,41997.04236959743,15977.2235888836
sexo_desc,5,42242.688833737724,16414.727421264597,245.64646414029266,437.50383238099676,41997.04236959743,15977.2235888836
sexo_desc,6,42264.073175826576,16409.295627813503,267.0308062291442,432.0720389299022,41997.04236959743,15977.2235888836
sexo_desc,7,42233.78243672289,16429.388054652103,236.74006712545815,452.16446576850285,41997.04236959743,15977.2235888836
sexo_desc,8,42287.57865859731,16428.782449314913,290.5362889998796,451.5588604313125,41997.04236959743,15977.2235888836
sexo_desc,9,42274.15191213322,16422.338140695287,277.1095425357853,445.1145518116864,41997.04236959743,15977.2235888836
sexo_desc,10,42263.49110465578,16428.08131936534,266.4487350583513,450.8577304817409,41997.04236959743,15977.2235888836
sexo_jefe_desc,1,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
sexo_jefe_desc,2,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
sexo_jefe_desc,3,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
sexo_jefe_desc,4,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
sexo_jefe_desc,5,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
sexo_jefe_desc,6,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
sexo_jefe_desc,7,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
sexo_jefe_desc,8,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
sexo_jefe_desc,9,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
sexo_jefe_desc,10,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
